Course Control Number (CB00),Course Code (CB01),Course Subject* (CB01),Course Number* (CB01),Course Title* (CB02) (updated=blue),Course Description,Department*,TOP Code,OLDTOP Code (CB03),Course Credit Status (CB04),Course Transfer Status (CB05),Course Units of Credit Maximum (CB06),Course Units of Credit Minimum (CB07),Course Basic Skills Status (CB08),SAM Priority Code (CB09),Cooperative Work Experience Education Status (CB10),Course Classification Code (CB11),Course Repeatability (CB12),Course Special Class Status (CB13),Course Can Code (CB14),Course Can Seq Code (CB15),Course Crosswalk Crs Dept Name (CB19),Course Crosswalk Crs Number (CB20),Course Prior to College Level (CB21),Course Non-Credit Category (CB22),Funding Agency Category (CB23),Course Program Status (CB24),Curriculum Id*,,
CCC000446341,ART13,ART,13,"Art of Africa, Asia, Australia and the Americas","ART 13 - Art of Africa, Asia, Australia, and the Americas, 3 units Prerequisite(s): ENGL 151 with a C or P, or placement into Engl 1A through the assessment process. 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  Survey of the arts of the Islamic World, India and Southeast Asia, China, Japan and Korea, the Pacific, Australia, Africa and the Americas from prehistoric to modern periods. This course is designed to meet an ethnic studies requirement. Not repeatable. MJC equivalent: (ART 169) Transfer: (CSU/UC) (CSU-GE: C1) (IGETC: 3A)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,13,Y,Y,Y,1,CART-13,,
CCC000576595,ART14,ART,14,Art Appreciation,"ART 14 - Art Appreciation,	3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  This course provides a general introduction to art through the study of terminology, themes, theory, design principles, media and techniques, with visual arts across various historical context and diverse cultures. Field trips required. Not repeatable. Transfer: (CSU/UC) (CSU-GE: C1) (IGETC: 3A)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,14,Y,Y,Y,2,CART-14,,
CCC000590600,ART15,ART,15,History of Graphic Design,"ART 15 - History of Graphic Design, 3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  This course is a survey of the evolution of Graphic Design beginning with the development of writing and ending with the revolution of digital media. It looks at the history of visual communication and how it has evolved in art, graphic design, illustration and popular culture from the 19th century to the present. The survey takes into account sociopolitical and cultural contexts as well as artistic and technological characteristics of specific art movements. Students will create a project that will be based on a specific art movement and/or designers studied. Not repeatable. Transfer: (CSU/UC) (CSU-GE C1) (IGETC 3A)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,15,Y,Y,Y,2,CART-15,,
CCC000144688,ART165,ART,165,Metal Sculpture,"ART 165/WT 165 - Metal Sculpture, 1.50 units 9 Lecture Hours, 54 Laboratory Hours, 18 Out-of-Class Hours = 81 Total Student Learning Hours  Materials fee required  An introduction to various metal working techniques with an emphasis on aesthetic design and quality of metal joining. A brief introduction to M.I.G. welding will be included. Credit may be earned for only one of the following: ART 165 or WT 165. Not repeatable.",ART,1001.00,100100,D,C,1.5,1.5,N,E,N,Y,,N,NULL,NULL,CART,165,Y,Y,Y,2,CART-165,,
CCC000065506,ART166,ART,166,Metal Sculpture Projects,"ART 166/WT 166 - Metal Sculpture Projects, 1 unit Prerequisite(s): ART 165, or WT 165 54 Laboratory Hours = 54 Total Student Learning Hours  Materials fee required  This course is designed to allow students to expand upon their skills in metal sculpture techniques and to provide for the student a more individualized pursuit in metal sculpturing. Students will work progressively more independently from instructor direction. Credit may be earned for only one of the following: ART 166 or WT 166. Not repeatable.",ART,1001.00,100100,D,C,1,1,N,E,N,Y,,N,NULL,NULL,CART,166,Y,Y,Y,2,CART-166,,
CCC000553705,ART2,ART,2,Basic Color and Design,"ART 2 - Basic Color and Design,	3 units 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Introduction to elements and principles of visual design and color theory as applied in a studio setting. Class will encompass organizing principles of two-dimensional art, including balance, proportion, repetition, contrast, harmony, unity, point of emphasis and visual movement. Focus will be on problem solving to develop two-dimensional awareness and development of skills in a variety of media. The translation of ideas and visual experience are an important consideration in creating finished class work/images. Course will include examination of historical and contemporary trends, materials and approaches in two-dimensional art. Development of a visual vocabulary for creative expression through lecture presentations, studio projects, problem solving, and written assignments. Not repeatable.  Transfer: (CSU/UC) C-ID: (ARTS 100)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,ARTS 100,NULL,CART,2,Y,Y,Y,1,CART-2,,
CCC000553704,ART21A,ART,21A,Painting: Beginning,"ART 21A - Painting: Beginning, 3 units 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Introduction to principles, elements, and practices of painting. Focus on exploration of oil and/or acrylic painting materials, perceptual skills and color theory, paint mixing and technique, as well as creative responses to materials and subject matter. Not repeatable. MJC equivalent: (ART 147 OR 148) Transfer: (UC/CSU) C-ID: (ARTS 210)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,ARTS 210,NULL,CART,21A,Y,Y,Y,1,CART-21A,,
CCC000553703,ART21B,ART,21B,Painting: Intermediate,"ART 21B - Painting: Intermediate, 3 units Prerequisite(s): ART 21A 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Continuation of ART 21A with emphasis on personal expression. Not repeatable. MJC equivalent: (ART 149) Transfer: (CSU/UC)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,21B,Y,Y,Y,1,CART-21B,,
CCC000553702,ART23A,ART,23A,Watercolor: Beginning,"ART 23A - Watercolor: Beginning, 3 units 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Introduction to basic materials, techniques and problems of transparent watercolors. Not repeatable. Transfer: (CSU/UC)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,23A,Y,Y,Y,1,CART-23A,,
CCC000552688,ART23B,ART,23B,Watercolor: Intermediate,"ART 23B - Watercolor: Intermediate, 3 units Prerequisite(s): ART 23A 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Continuation of ART 23A introducing opaque watercolors and various experimental techniques. Not repeatable. Transfer: (CSU/UC)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,23B,Y,Y,Y,1,CART-23B,,
CCC000553701,ART25,ART,25,Mixed Media Painting,"ART 25 - Mixed Media Painting, 3 units 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  A beginning studio class which introduces students to the elements and principles of mixed media painting. The course will involve the use of oil or acrylic paints and will emphasize technique, special illusion and basic composition skills using different mixed media. Not repeatable. Transfer: (CSU/UC)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,25,Y,Y,Y,1,CART-25,,
CCC000552135,ART3,ART,3,3-D Design: Mixed Media,"ART 3 - 3-D Design: Mixed Media, 3 units Formerly listed as: ART 3 - 3-D Art and Design 27 Lecture Hours, 81 Laboratory Hours, 54 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required  Explore 3D design concepts, applications and historical samples through hands on projects.  Employ a variety of construction techniques to reinforce ""organizational principles and elements"" of art.  Lectures, labs, and presentations will reinforce verbal and visual vocabularies. Not repeatable. MJC equivalent: (ART 125) Transfer: (CSU/UC) C-ID: (ARTS 101)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,ARTS 101,NULL,CART,3,Y,Y,Y,1,CART-3,,
CCC000590935,ART300,ART,300,2-D Art for Life,"ART 300 - 2-D Art for Life , 0 units Hours per term: 36 lecture and 81 laboratory  Provides lifelong education for older adults and promotes the refinement of craft and content in 2-D art. Students will focus on the elements of design, color, line, shape and form, space and texture, and the principles of design, balance, variety, proportion, emphasis, movement, harmony and rhythm. Students will learn to better understand their own artwork as well as other artwork. Unlimited repeats.   Noncredit, Not Graded",ART,1002.10,100210,N,C,0,0,N,E,N,L,,N,NULL,NULL,CART,300,Y,H,Y,2,CART-300,,
CCC000553700,ART31,ART,31,Ceramics: Introductory,"ART 31 - Ceramics: Introductory, 3 units 27 Lecture Hours, 81 Laboratory Hours, 54 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required  Introduction to basic ceramic methods including hand-building and wheel-thrown forms, and introduction to glazes and decoration. Not repeatable. MJC equivalent: (ART 108) Transfer: (CSU/UC)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,31,Y,Y,Y,1,CART-31,,
CCC000553699,ART32,ART,32,Ceramics: Intermediate,"ART 32 - Ceramics: Intermediate, 3 units 27 Lecture Hours, 81 Laboratory Hours, 54 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required  Course emphasis is on glazes, formulation and application with increased opportunity for personal expression and experimentation. Not repeatable. Transfer: (CSU/UC)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,32,Y,Y,Y,1,CART-32,,
CCC000552687,ART33,ART,33,Ceramics: Advanced,"ART 33 - Ceramics: Advanced, 3 units 27 Lecture Hours, 81 Laboratory Hours, 54 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required  Course emphasis is on personal growth and independence. Not repeatable. Transfer: (CSU/UC)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,33,Y,Y,Y,2,CART-33,,
CCC000580355,ART330,ART,330,Creative Ceramics and Sculpture,"ART 330 - Creative Ceramics and Sculpture  0 units Hours per term: 36 lecture and 54 laboratory/activity  Materials fee required.  Study and creation of ceramic art of various styles and media for community adults.  Unlimited Repeats.  Noncredit, Not Graded",ART,1002.30,100230,N,C,0,0,N,E,N,L,,N,NULL,NULL,CART,330,Y,H,Y,2,CART-330,,
CCC000580354,ART340,ART,340,Creative Photography,"ART 340 - Creative Photography,	0 units 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Study and application of various photography styles and media for older adults. Students will enjoy various outdoor field experiences and/or photography developing techniques. This course is designed to help the student acquire new knowledge and photographic skills. Note*This course may be offered with 1 to 2 weekly lecture hours and 1.5 - 4.5 weekly lab hours. Total contact hours 36 - 108. Field trips may be required. Unlimited repeats.   Noncredit, Not Graded",ART,1011.00,101100,N,C,0,0,N,E,N,L,,N,NULL,NULL,CART,340,Y,H,Y,2,CART-340,,
CCC000114422,ART35,ART,35,Ceramic Raku and Alternative Firing Methods,"ART 35 - Ceramic Raku and Alternative Firing Methods, 2 units Formerly listed as: ART 35 - Raku and Alternative Firing Methods 27 Lecture Hours, 27 Laboratory Hours, 54 Out-of-Class Hours = 108 Total Student Learning Hours  Materials fee required  Introduction to the raku process, pit firing, fuming, barrel smoked, historic origins and contemporary uses. Practical experience in clay bodies, glazes, raku and other firing. Not repeatable. Transfer: (CSU/UC)",ART,1001.00,100100,D,A,2,2,N,E,N,Y,,N,NULL,NULL,CART,35,Y,Y,Y,2,CART-35,,
CCC000551900,ART36,ART,36,Wheel-Thrown Ceramics,"ART 36 - Wheel-Thrown Ceramics, 2 units 27 Lecture Hours, 27 Laboratory Hours, 54 Out-of-Class Hours = 108 Total Student Learning Hours  Materials fee required  An introduction to throwing on the potter's wheel, and its historical and contemporary significance. This class will introduce the process of wedging clay, centering a pot, pulling a wall, shaping process, and trimming techniques to complete well balanced forms on the potter's wheel. In addition, students will examine, discuss, critique and write about the techniques, terminology and processes of historical and contemporary thrown clay vessels. Students will use vocabulary in verbal and written class critiques. Not repeatable. Transfer: (CSU/UC)",ART,1001.00,100100,D,A,2,2,N,E,N,Y,,N,NULL,NULL,CART,36,Y,Y,Y,2,CART-36,,
CCC000340645,ART40,ART,40,Film Photography: Beginning,"ART 40 - Film Photography: Beginning, 4 units Formerly listed as: ART 40 - Photography: Beginning 54 Lecture Hours, 54 Laboratory Hours, 108 Out-of-Class Hours = 216 Total Student Learning Hours  Introduction to the history, art, craft, and scope of black and white film photography. Emphasis will be on the choice, types, and use of various cameras and lenses (special emphasis on the 35mm camera), camera work and handling, composition, and black and white darkroom procedures. An adjustable 35mm film camera will be required. Not repeatable. Transfer: (CSU/UC)",ART,1011.00,101100,D,A,4,4,N,E,N,Y,,N,NULL,NULL,CART,40,Y,Y,Y,1,CART-40,,
CCC000592540,ART43,ART,43,Introduction to Digital Photography,"ART 43 - Introduction to Digital Photography, 3 units Formerly listed as: ART 98DP - Introduction to Digital Photography 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Introduction to digital photography through the disciplines of technical camera handling, use of natural and artificial lighting, composition, aesthetics, and basic image processing with the goal of producing high quality photos for fine art and commercial purposes. Field trips may be required. Not repeatable. Transfer: (CSU/UC)",ART,1011.00,101100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,43,Y,Y,Y,2,CART-43,,
CCC000553698,ART45,ART,45,Field Photography,"ART 45 - Field Photography,	3 units 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  An introduction to producing professional quality nature photographs. Field instruction in locations of natural beauty followed by lectures, demonstrations, and critiques. The student will utilize an adjustable film or digital camera. Field trips required. Not repeatable. Transfer: (CSU)",ART,1011.00,101100,D,B,3,3,N,E,N,Y,,N,NULL,NULL,CART,45,Y,Y,Y,1,CART-45,,
CCC000588835,ART46,ART,46,Field Photography: Composition and Design,"ART 46 - Field Photography: Composition and Design, 2 units 27 Lecture Hours, 27 Laboratory Hours, 54 Out-of-Class Hours = 108 Total Student Learning Hours  An introduction to elements of design and composition as they relate to field photography. Field instruction in locations of natural beauty and historical significance followed by lectures, demonstrations, and critiques. Requires adjustable 35mm camera or larger format, or adjustable SLR type digital. Field trips required. Not repeatable. Transfer: (CSU)",ART,1011.00,101100,D,B,2,2,N,E,N,Y,,N,NULL,NULL,CART,46,Y,Y,Y,1,CART-46,,
CCC000552117,ART49,ART,49,Intermediate Field Photography,"ART 49 - Intermediate Field Photography, 3 units Recommended for Success: ART 45 or equivalent 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Various field and studio-oriented topics related to nature photography which may include but are not limited to learning to tell a story photographically and editing and creating mockup book layouts. Students will also learn to identify and work on their own personal vision as it relates to photography. Students will do a series of assignments, learn picture editing, create and critique picture layouts and learn how to plan detailed photographic coverage. Not repeatable. Transfer: (CSU)",ART,1011.00,101100,D,B,3,3,N,E,N,Y,,N,NULL,NULL,CART,49,Y,Y,Y,1,CART-49,,
CCC000187351,ART51,ART,51,Publication Design I,"ART 51/CCTDM 51 - Publication Design I, 3 units 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required  An introduction to general publication design theory with emphasis on typography, page layout, graphics, and design. Students will create media for print and digital publishing. Exercises and projects will include the creation of a multi-page booklet, poster, newsletter, brochures and an interactive document formatted for digital publishing. Credit may be earned for only one of the following: CCDTM 51 or ART 51. Not repeatable. Transfer: (CSU)",ART,1001.00,100100,D,B,3,3,N,E,N,Y,,N,NULL,NULL,CART,51,Y,Y,Y,1,CART-51,,
CCC000257401,ART53,ART,53,Computer Graphics I,"ART 53/CCTDM 53 - Computer Graphics I, 3 units 36 Lecture, 54 Laboratory, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required  This course introduces the student to the fundamentals of computer graphics. Topics include the elements and principles of design, concept development, characteristics of vector and raster digital files, color modes, digital drawing and painting, and formatting for print and the Web. Students will acquire basic skills in current digital illustration software and create original design pieces. Credit may be earned for only one of the following: CCTDM 53 or ART 53. Not repeatable. Transfer:(CSU/UC) C-ID (ARTS 250)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,ARTS 250,NULL,CART,53,Y,Y,Y,1,CART-53,,
CCC000236608,ART54,ART,54,Computer Graphics II,"ART 54/CCTDM 54 - Computer Graphics II, 3 units Prerequisite(s): CCTDM 53 or ART 53 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required  Computer Graphics topics covered will include concept development, analog drawing, scanning, advanced techniques of painting and drawing software, critiquing, and publishing. Credit may be earned for only one of the following: CCTDM 54 or ART 54. Not repeatable. Transfer:(CSU/UC)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,54,Y,Y,Y,2,CART-54,,
CCC000588837,ART56,ART,56,Typography,"ART 56/CCTDM 56 - Typography, 3 units Prerequisite(s): CCTDM 53 or ART 53  54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required  Designed to focus study of the elements of typography as related to print and to the World Wide Web. This is an interactive course where students practice and apply skills of typography for visual communication. Emphasis will focus on identifying type as a dynamic visual element; typographical forms and nuance; and the development of successful typographic solutions to convey concepts. Through collaborative discussions of assigned exercises and projects, students will acquire skills of analysis and critique. The course outcome will be the creation of a student portfolio of completed projects. Credit may be earned for only one of the following: CCTDM 56 or ART 56. Not repeatable. Transfer: (CSU/UC)",ART,0799.00,079900,D,A,3,3,N,B,N,Y,,N,NULL,NULL,CART,56,Y,Y,Y,1,CART-56,,
CCC000553697,ART71,ART,71,Ceramic Sculpture: Introductory,"ART 71 - Ceramic Sculpture: Introductory,	 3 units 27 Lecture Hours, 81 Laboratory Hours, 54 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required  Basic principles, techniques, and problems in sculpture. Not repeatable. Transfer: (CSU/UC)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,71,Y,Y,Y,1,CART-71,,
CCC000552686,ART72,ART,72,Ceramic Sculpture: Advanced,"ART 72 - Ceramic Sculpture: Advanced,	3 units 27 Lecture Hours, 81 Laboratory Hours, 54 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required  Course emphasis is on advanced principles, techniques, and problems in hand-built sculpture. Not repeatable. Transfer: (CSU/UC)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,72,Y,Y,Y,1,CART-72,,
CCC000553696,ART9A,ART,9A,Figure Drawing: Beginning,"ART 9A - Figure Drawing: Beginning, 3 units 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Introduction to observational drawing of the human figure by using various techniques and media. Students will learn both descriptive and expressive approaches to drawing the human figure. Topics include an introduction to human anatomy and the historical and contemporary roles of figure drawing in the visual arts. Not repeatable. MJC equivalent: (ART 123) Transfer: (CSU/UC) C-ID: (ARTS 200)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,ARTS 200,NULL,CART,9A,Y,Y,Y,1,CART-9A,,
CCC000553695,ART9B,ART,9B,Figure Drawing: Intermediate,"ART 9B - Figure Drawing: Intermediate, 3 units Prerequisite(s): ART 9A 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  An extension of ART 9A emphasizing various media and compositional problems. Not repeatable. Transfer: (UC/CSU)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CART,9B,Y,Y,Y,1,CART-9B,,
CCC000587114,ASTRO40,ASTRO,40,Descriptive Astronomy,"ASTRO 40 - Descriptive Astronomy, 3 units Formerly listed as: ESC 40 - Descriptive Astronomy Recommended for Success: Eligibility for English 1A 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  A survey course in astronomy. Topics include history of astronomy, telescopes, solar system, stars, galaxies, origin of universe, and extraterrestrial life. Field trips may be required. Not repeatable. MJC equivalent: (ASTRO 160) Transfer: (CSU/UC) (CSU-GE: B1) (IGETC: 5A)",PHYC,1911.00,191100,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CASTRO,40,Y,Y,Y,1,CASTRO-40,,
